Experimento 1

  Filtro: diff   Implementación: C    Imágenes: phoebe1, phoebe2   Cant. muestras: 5
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000        123576018.40               57.21            57858.75
             1801824        103253797.60               57.31           275121.38
             1500000         86118554.40               57.41           258837.83
             1204224         68972063.20               57.28            19398.13
              960000         55045509.60               57.34            60644.87
              726624         41683245.60               57.37             7564.37
              540000         31090534.40               57.58            91281.01
              369024         21251749.60               57.59            48500.72
              240000         13955759.20               58.15           204626.17
              153600          9032712.80               58.81           266924.26
               60000          3480748.00               58.01            41093.82
               38400          2214584.80               57.67            16980.61
               21600          1253028.00               58.01            17873.34
                9600           558686.40               58.20             2018.75
                6144           364087.20               59.26             8029.00
                2400           143836.00               59.93              867.95
                1536            92377.60               60.14              557.43
                 864            53947.20               62.44              416.85
                 384            24991.20               65.08              846.27

  Filtro: diff   Implementación: ASM    Imágenes: phoebe1, phoebe2   Cant. muestras: 5
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000          9197865.60                4.26            61981.65
             1801824          7683846.40                4.26            34382.86
             1500000          6486802.40                4.32           115646.47
             1204224          5239557.60                4.35            16275.64
              960000          4248197.60                4.43            76436.18
              726624          3268460.80                4.50            67609.49
              540000          2404214.40                4.45            44888.42
              369024          1821355.20                4.94           277469.84
              240000          1137494.40                4.74           100281.01
              153600           706236.00                4.60           118575.79
               60000           201633.60                3.36            26533.88
               38400           117524.00                3.06             3423.49
               21600            69125.60                3.20             1183.38
                9600            28947.20                3.02              896.67
                6144            18521.60                3.01              519.99
                2400             7417.60                3.09              177.39
                1536             5248.80                3.42               60.58
                 864             2864.00                3.31               44.54
                 384             1608.00                4.19               29.61

  Filtro: blur   Implementación: C    Imagen: phoebe1   Cant. muestras: 5
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000      93978985868.00            43508.79        314557683.51
             1801824      77876335383.20            43220.83         84326457.77
             1500000      64643970484.60            43095.98        153651650.77
             1204224      51576054467.20            42829.29        103759297.86
              960000      40741345655.80            42438.90         52871398.66
              726624      30525665459.80            42010.26         15456547.41
              540000      22394410756.00            41471.13         17032708.69
              369024      15047403723.20            40776.22         21198077.79
              240000       9542403578.40            39760.01         15230495.78
              153600       5909714469.60            38474.70          8428356.22
               60000       2080970746.40            34682.85          1872099.72
               38400       1235061348.00            32163.06          2293678.61
               21600        610774323.20            28276.59          1276111.28
                9600        204733988.00            21326.46          1709686.92
                6144        102836536.80            16737.72          1565070.56
                2400         14235288.00             5931.37           656876.07
                1536          1946233.60             1267.08            45885.01
                 864              652.00                0.75               44.83
                 384              675.20                1.76               49.99

  Filtro: blur   Implementación: ASM    Imagen: phoebe1   Cant. muestras: 5
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000       9345843048.00             4326.78          5367483.17
             1801824       7771729689.60             4313.26          4826768.51
             1500000       6440904101.60             4293.94          9788423.10
             1204224       5137430360.80             4266.18          4536679.20
              960000       4063668773.60             4232.99          7077079.51
              726624       3051901258.40             4200.11          3313887.95
              540000       2237760183.20             4144.00           721120.07
              369024       1502902960.00             4072.64          1403586.06
              240000        952404035.20             3968.35          1697172.30
              153600        588923870.40             3834.14           612487.69
               60000        208202419.60             3470.04           912735.41
               38400        124691450.40             3247.17          1385135.10
               21600         61612613.60             2852.44           242569.48
                9600         20653048.00             2151.36            37450.62
                6144         10483755.20             1706.34            66649.75
                2400          1638316.00              682.63            15470.32
                1536           449378.40              292.56             6657.52
                 864              552.00                0.64              174.30
                 384              508.80                1.32              216.73
