Experimento 3

  Implementación: C   Imagen: phoebe1   Radio: 50   Cant. muestras: 1
     Sigma     Tiempo empleado     Desvío estándar
         0      74931213620.00                0.00
         1      83134538248.00                0.00
         1      97972977692.00                0.00
         3     174726229598.00                0.00
         6      72319823276.00                0.00
         9      72319823276.00                0.00

  Implementación: ASM   Imagen: phoebe1   Radio: 50   Cant. muestras: 1
     Sigma     Tiempo empleado     Desvío estándar
         0       7650127336.00                0.00
         1       9308813652.00                0.00
         1      12498996228.00                0.00
         3      28528747900.00                0.00
         6       7047246936.00                0.00
         9       7009360444.00                0.00
        12       7041951288.00                0.00
        15       7027917628.00                0.00
        18       7075376086.00                0.00
        21       7016219512.00                0.00
        24       7015018236.00                0.00
        27       7031619940.00                0.00
        30       7010945884.00                0.00
        33       7017782712.00                0.00
        36       7055212088.00                0.00
        39       7041343200.00                0.00
        42       7036806924.00                0.00
        45       7014093928.00                0.00
        48       7022138688.00                0.00
        50       7044201840.00                0.00
