Experimento 1

  Filtro: diff   Implementación: C    Imágenes: phoebe1, phoebe2   Cant. muestras: 1
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000        108256009.00               50.12                0.00
             1801824        119082863.00               66.09                0.00
             1500000         79682532.00               53.12                0.00
             1204224         86084339.00               71.49                0.00
              960000         67801037.00               70.63                0.00
              726624         56995153.00               78.44                0.00
              540000         51543165.00               95.45                0.00
              369024         29295440.00               79.39                0.00
              240000         26320537.00              109.67                0.00
              153600         15627476.00              101.74                0.00
               60000          5483295.00               91.39                0.00
               38400          3738444.00               97.36                0.00
               21600          2067393.00               95.71                0.00
                9600           909060.00               94.69                0.00
                6144           529740.00               86.22                0.00
                2400           225590.00               94.00                0.00
                1536           167250.00              108.89                0.00
                 864            77325.00               89.50                0.00
                 384            56375.00              146.81                0.00
                   1          2160000.00          2160000.00                0.00
           106542642          1801824.00                0.02                0.00
           118016502          1500000.00                0.01                0.00
            80581677          1204224.00                0.01                0.00
            94185018           960000.00                0.01                0.00
            53860525           726624.00                0.01                0.00
            69669462           540000.00                0.01                0.00
            48904630           369024.00                0.01                0.00
            28034061           240000.00                0.01                0.00
            16614942           153600.00                0.01                0.00
            10170911            60000.00                0.01                0.00
             3843021            38400.00                0.01                0.00
             3262575            21600.00                0.01                0.00
             2759312             9600.00                0.00                0.00
              867485             6144.00                0.01                0.00
              492605             2400.00                0.00                0.00
              190930             1536.00                0.01                0.00
              134325              864.00                0.01                0.00
               74265              384.00                0.01                0.00
               32375                0.00                0.00                0.00

  Filtro: diff   Implementación: ASM    Imágenes: phoebe1, phoebe2   Cant. muestras: 1
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000          8467597.00                3.92                0.00
             1801824          7131600.00                3.96                0.00
             1500000          4926386.00                3.28                0.00
             1204224          5436545.00                4.51                0.00
              960000          3812987.00                3.97                0.00
              726624          2785244.00                3.83                0.00
              540000          2880012.00                5.33                0.00
              369024          1715205.00                4.65                0.00
              240000           995045.00                4.15                0.00
              153600           550968.00                3.59                0.00
               60000           546638.00                9.11                0.00
               38400           156340.00                4.07                0.00
               21600            95495.00                4.42                0.00
                9600            35370.00                3.68                0.00
                6144            22850.00                3.72                0.00
                2400             9050.00                3.77                0.00
                1536             6530.00                4.25                0.00
                 864             3544.00                4.10                0.00
                 384             1900.00                4.95                0.00
                   1          2160000.00          2160000.00                0.00
             8371885          1801824.00                0.22                0.00
             6222000          1500000.00                0.24                0.00
             6332584          1204224.00                0.19                0.00
             4463135           960000.00                0.22                0.00
             4647286           726624.00                0.16                0.00
             3585611           540000.00                0.15                0.00
             2038621           369024.00                0.18                0.00
             1989806           240000.00                0.12                0.00
             1374835           153600.00                0.11                0.00
              662190            60000.00                0.09                0.00
              243610            38400.00                0.16                0.00
              147270            21600.00                0.15                0.00
               89725             9600.00                0.11                0.00
               36985             6144.00                0.17                0.00
               22740             2400.00                0.11                0.00
                9080             1536.00                0.17                0.00
                6252              864.00                0.14                0.00
                3532              384.00                0.11                0.00
                1930                0.00                0.00                0.00

  Filtro: blur   Implementación: C    Imagen: phoebe1   Cant. muestras: 1
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000                 NaN                 NaN    
  Filtro: blur   Implementación: ASM    Imagen: phoebe1   Cant. muestras: 1
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000         21600001.00               10.00                0.00
             1801824       7702051855.00             4274.59                0.00
             1500000       6405528396.00             4270.35                0.00
             1204224       5325293983.00             4422.18                0.00
              960000       4261261547.00             4438.81                0.00
              726624       3310769165.00             4556.37                0.00
              540000       2580468644.00             4778.65                0.00
              369024       1868366819.00             5063.00                0.00
              240000       1422211510.00             5925.88                0.00
              153600        771774143.00             5024.57                0.00
               60000        627361998.00            10456.03                0.00
               38400        364719040.00             9497.89                0.00
               21600        217574683.00            10072.90                0.00
                9600         73386626.00             7644.44                0.00
                6144         17456324.00             2841.20                0.00
                2400         11377856.00             4740.77                0.00
                1536          1628968.00             1060.53                0.00
                 864           452484.00              523.71                0.00
                 384              362.00                0.94                0.00
                   0              282.00                 Inf                0.00
